id,corporate_number,name,furigana,prefecture_name,city_name,street_number,post_code,address_full,sources
1,8190005011413,一般社団法人三重県解体工事業協会,,三重県,四日市市,本町１番１号,5100093,三重県 四日市市 本町１番１号,houjin_bangou
2,4190002015214,有限会社タナカ自動車解体,,三重県,松阪市,田村町７８８番地１,5150055,三重県 松阪市 田村町７８８番地１,houjin_bangou
3,4190002015370,有限会社奥伊勢廃材センター,,三重県,度会郡大紀町,野添７８２番地３,5192732,三重県 度会郡大紀町 野添７８２番地３,houjin_bangou
4,9190001014047,株式会社トレード解体,,三重県,鈴鹿市,庄野町１０７３番地の１,5130831,三重県 鈴鹿市 庄野町１０７３番地の１,houjin_bangou
5,2190001028185,株式会社ヤマゼン解体工業,,三重県,伊賀市,予野２７００番地の１,5181152,三重県 伊賀市 予野２７００番地の１,houjin_bangou
6,8190001011895,株式会社志摩自動車解体,,三重県,度会郡南伊勢町,神津佐１３７０番地３,5160104,三重県 度会郡南伊勢町 神津佐１３７０番地３,houjin_bangou
7,3190001003955,解体本舗株式会社,,三重県,伊勢市,小俣町宮前７４番地１,5190504,三重県 伊勢市 小俣町宮前７４番地１,houjin_bangou
8,9130005012085,一般社団法人京都府建物解体協会,,京都府,京都市下京区,高辻通室町西入繁昌町２９５番地１,6008433,京都府 京都市下京区 高辻通室町西入繁昌町２９５番地１,houjin_bangou
9,7130005010801,一般社団法人京都府解体工事業協会,,京都府,京都市伏見区,深草一ノ坪町４１パールハイツイナリ１０３６,6120012,京都府 京都市伏見区 深草一ノ坪町４１パールハイツイナリ１０３６,houjin_bangou
10,2130002023604,有限会社日本中古タイヤ産廃,,京都府,京都市下京区,西七条赤社町１６番地,6008899,京都府 京都市下京区 西七条赤社町１６番地,houjin_bangou
11,5130001064340,株式会社丹後解体,,京都府,京丹後市,大宮町三坂１４３番地の３,6292523,京都府 京丹後市 大宮町三坂１４３番地の３,houjin_bangou
12,5130001064349,近畿解体清掃株式会社,,京都府,京都市西京区,大原野西竹の里町２丁目２番地,6101145,京都府 京都市西京区 大原野西竹の里町２丁目２番地,houjin_bangou
13,1300001003978,株式会社井手解体実業,,佐賀県,佐賀市,諸富町大字為重１５８８番地１,8402102,佐賀県 佐賀市 諸富町大字為重１５８８番地１,houjin_bangou
14,1300001011139,株式会社博丸解体工業,,佐賀県,佐賀市,大和町大字東山田１８７２番地２ロイヤルファミリー川上２０１号,8400211,佐賀県 佐賀市 大和町大字東山田１８７２番地２ロイヤルファミリー川上２０１号,houjin_bangou
15,6300001013519,株式会社宮﨑解体工業,00132554,佐賀県,伊万里市,松浦町山形４８１７番地１,8495263,佐賀県 伊万里市 松浦町山形４８１７番地１,houjin_bangou
16,8300001007758,株式会社山口解体,,佐賀県,唐津市,畑島５８９８番地１,8470833,佐賀県 唐津市 畑島５８９８番地１,houjin_bangou
17,9300001011016,株式会社志徳解体,,佐賀県,多久市,多久町５８０番地１１６,8460031,佐賀県 多久市 多久町５８０番地１１６,houjin_bangou
18,7300001013006,株式会社重富解体産業,,佐賀県,杵島郡白石町,大字福富９６番地,8490401,佐賀県 杵島郡白石町 大字福富９６番地,houjin_bangou
19,3310001018684,株式会社Ｋ＆Ｋ解体工業,,佐賀県,西松浦郡有田町,下本乙２４９６－１－２階,8494172,佐賀県 西松浦郡有田町 下本乙２４９６－１－２階,houjin_bangou
20,8700150061103,菖蒲産廃地域対策振興協議会,,佐賀県,唐津市,鎮西町菖蒲２９２３－１,8470314,佐賀県 唐津市 鎮西町菖蒲２９２３－１,houjin_bangou
21,2300001006435,鳥栖産廃株式会社,,佐賀県,鳥栖市,三島町於保里４６０２番地,8410064,佐賀県 鳥栖市 三島町於保里４６０２番地,houjin_bangou
22,5140005024851,一般社団法人あんしん解体業者認定空き家対策機構,,兵庫県,尼崎市,潮江１丁目２番１号ローレルコートクレヴィア１４０７号,6610976,兵庫県 尼崎市 潮江１丁目２番１号ローレルコートクレヴィア１４０７号,houjin_bangou
23,8140005024799,一般社団法人兵庫県解体工事業協会,,兵庫県,神戸市兵庫区,北逆瀬川町３－１１・３Ｆ,6520837,兵庫県 神戸市兵庫区 北逆瀬川町３－１１・３Ｆ,houjin_bangou
24,4140005025470,一般社団法人解体建物環境支援協会,,兵庫県,神戸市中央区,生田町３丁目３番１８号－２０２号,6510092,兵庫県 神戸市中央区 生田町３丁目３番１８号－２０２号,houjin_bangou
25,5140001130983,中田自動車解体株式会社,,兵庫県,加古川市,平岡町西谷１０６番地,6750102,兵庫県 加古川市 平岡町西谷１０６番地,houjin_bangou
26,6140001116643,安永解体工業株式会社,,兵庫県,神戸市西区,池上２丁目５番地の１６,6512111,兵庫県 神戸市西区 池上２丁目５番地の１６,houjin_bangou
27,2140002043964,有限会社コーキ解体,,兵庫県,尼崎市,大島３丁目３１番１１号宮宗コーポ３ＦＡ,6600076,兵庫県 尼崎市 大島３丁目３１番１１号宮宗コーポ３ＦＡ,houjin_bangou
28,1140002029345,有限会社中田解体興業,,兵庫県,明石市,大久保町大窪２６７２番地の１３,6740051,兵庫県 明石市 大久保町大窪２６７２番地の１３,houjin_bangou
29,8140002009274,有限会社大清産廃,,兵庫県,神戸市長田区,苅藻島町１丁目１－４３,6530033,兵庫県 神戸市長田区 苅藻島町１丁目１－４３,houjin_bangou
30,6140002036700,有限会社松岡自動車解体,,兵庫県,加古川市,志方町西牧１１０６番地の４,6750331,兵庫県 加古川市 志方町西牧１１０６番地の４,houjin_bangou
31,4140002008049,有限会社神戸解体センター,,兵庫県,神戸市須磨区,白川字冷松上５０７番地,6540101,兵庫県 神戸市須磨区 白川字冷松上５０７番地,houjin_bangou
32,5140002007363,有限会社芝総合産廃,,兵庫県,神戸市須磨区,妙法寺字風早１２３７番地の８,6540121,兵庫県 神戸市須磨区 妙法寺字風早１２３７番地の８,houjin_bangou
33,2140002008323,有限会社関西解体工業,,兵庫県,神戸市長田区,駒栄町２丁目３番地の１,6530034,兵庫県 神戸市長田区 駒栄町２丁目３番地の１,houjin_bangou
34,5140002037121,有限会社高砂解体,,兵庫県,高砂市,曽根町３０５９番地の３,6760082,兵庫県 高砂市 曽根町３０５９番地の３,houjin_bangou
35,7140001133935,株式会社神戸解体工業,,兵庫県,明石市,大久保町大窪２７２６番地の３,6740051,兵庫県 明石市 大久保町大窪２７２６番地の３,houjin_bangou
36,6140001021612,株式会社神明解体工業,,兵庫県,神戸市西区,平野町中津字牛飼場１３３８番地の５６,6512257,兵庫県 神戸市西区 平野町中津字牛飼場１３３８番地の５６,houjin_bangou
37,2140001112290,株式会社藤原解体工業,,兵庫県,加東市,下滝野２丁目６５番地１,6790212,兵庫県 加東市 下滝野２丁目６５番地１,houjin_bangou
38,6140001065155,株式会社西原解体興業,,兵庫県,姫路市,広畑区東新町２丁目４４番地１,6711121,兵庫県 姫路市 広畑区東新町２丁目４４番地１,houjin_bangou
39,8430005011859,一般社団法人北海道解体工事業協会,,北海道,札幌市東区,北二十六条東１０丁目１番１号,0650026,北海道 札幌市東区 北二十六条東１０丁目１番１号,houjin_bangou
40,5430001085694,三ツ環解体株式会社,,北海道,札幌市北区,麻生町４丁目１２番８号,0010045,北海道 札幌市北区 麻生町４丁目１２番８号,houjin_bangou
41,7430001088497,丸多解体株式会社,,北海道,札幌市中央区,大通西１５丁目３－１２－３０５,0600042,北海道 札幌市中央区 大通西１５丁目３－１２－３０５,houjin_bangou
42,4450005003081,利尻島建設廃材処理協同組合,,北海道,利尻郡利尻町,仙法志字神磯５７番地,0970311,北海道 利尻郡利尻町 仙法志字神磯５７番地,houjin_bangou
43,1430001021447,北海解体株式会社,,北海道,札幌市白石区,菊水五条３丁目１番３号,0030805,北海道 札幌市白石区 菊水五条３丁目１番３号,houjin_bangou
44,2430001065765,北海道解体株式会社,,北海道,札幌市豊平区,美園一条５丁目３番７号,0620001,北海道 札幌市豊平区 美園一条５丁目３番７号,houjin_bangou
45,4430002000967,厚別解体建設工業有限会社,,北海道,札幌市厚別区,厚別西四条５丁目７７５番１５６,0040064,北海道 札幌市厚別区 厚別西四条５丁目７７５番１５６,houjin_bangou
46,7430003004799,合同会社一般住宅解体工事専門店ＮＡＫＡＳＯＫＵ,,北海道,石狩市,花川北七条３丁目４９番地１,0613217,北海道 石狩市 花川北七条３丁目４９番地１,houjin_bangou
47,8430003017321,合同会社令和解体,,北海道,札幌市東区,東苗穂五条３丁目７番３０‐９０３号,0070805,北海道 札幌市東区 東苗穂五条３丁目７番３０‐９０３号,houjin_bangou
48,4430003006996,合同会社佐藤解体建設,,北海道,石狩郡当別町,六軒町７００２番地１,0610231,北海道 石狩郡当別町 六軒町７００２番地１,houjin_bangou
49,8430003007504,合同会社解体屋,,北海道,石狩市,緑苑台東三条３丁目１４８番地,0613223,北海道 石狩市 緑苑台東三条３丁目１４８番地,houjin_bangou
50,8430003000054,合資会社解体の石森,,北海道,札幌市北区,麻生町４丁目１番１－３０５号,0010045,北海道 札幌市北区 麻生町４丁目１番１－３０５号,houjin_bangou
51,9450001012726,宝里解体工業株式会社,,北海道,旭川市,永山一条６丁目６番５号,0798411,北海道 旭川市 永山一条６丁目６番５号,houjin_bangou
52,9430001066311,日本解体工業株式会社,,北海道,札幌市手稲区,前田八条１２丁目１番２０号,0060818,北海道 札幌市手稲区 前田八条１２丁目１番２０号,houjin_bangou
53,5450001000973,旭栄解体部品株式会社,,北海道,旭川市,東旭川町共栄１２４番地,0788340,北海道 旭川市 東旭川町共栄１２４番地,houjin_bangou
54,8430002003561,有限会社エルム解体開発,,北海道,札幌市手稲区,前田六条１６丁目６番８号,0060816,北海道 札幌市手稲区 前田六条１６丁目６番８号,houjin_bangou
55,2430002039520,有限会社フレックス解体工房,,北海道,札幌市北区,北三十条西４丁目２番２７号,0010030,北海道 札幌市北区 北三十条西４丁目２番２７号,houjin_bangou
56,3430002019240,有限会社三上解体建設,,北海道,札幌市北区,新川四条８丁目１０番５号,0010924,北海道 札幌市北区 新川四条８丁目１０番５号,houjin_bangou
57,7430002036216,有限会社中田解体建設,,北海道,札幌市豊平区,平岸三条２丁目５番１７号,0620933,北海道 札幌市豊平区 平岸三条２丁目５番１７号,houjin_bangou
58,7430002017042,有限会社伏古解体工業,,北海道,札幌市東区,東苗穂五条２丁目１１番１号,0070805,北海道 札幌市東区 東苗穂五条２丁目１１番１号,houjin_bangou
59,5430002008588,有限会社佐藤解体工業,,北海道,札幌市豊平区,平岸五条７丁目６番２３号,0620935,北海道 札幌市豊平区 平岸五条７丁目６番２３号,houjin_bangou
60,2450002006287,有限会社共栄解体,,北海道,旭川市,東旭川町共栄２２３番地,0788340,北海道 旭川市 東旭川町共栄２２３番地,houjin_bangou
61,1430002018698,有限会社前田解体産業,,北海道,札幌市南区,南三十四条西９丁目１番８号,0050034,北海道 札幌市南区 南三十四条西９丁目１番８号,houjin_bangou
62,8430002050307,有限会社北村産廃,,北海道,岩見沢市,北村中央１５７番地２,0681212,北海道 岩見沢市 北村中央１５７番地２,houjin_bangou
63,1450002004886,有限会社北海産廃,,北海道,旭川市,工業団地二条１丁目１番２３号,0788272,北海道 旭川市 工業団地二条１丁目１番２３号,houjin_bangou
64,2430002038596,有限会社北海道解体工房,,北海道,札幌市北区,拓北二条３丁目５番１７号,0028062,北海道 札幌市北区 拓北二条３丁目５番１７号,houjin_bangou
65,5430002018240,有限会社北邦解体,,北海道,札幌市中央区,南十五条西９丁目１番２号,0640915,北海道 札幌市中央区 南十五条西９丁目１番２号,houjin_bangou
66,4430002060953,有限会社北都自動車解体,,北海道,勇払郡安平町,追分白樺１丁目１２０番地,0591942,北海道 勇払郡安平町 追分白樺１丁目１２０番地,houjin_bangou
67,7460102002379,有限会社十勝コンクリート解体工業,,北海道,帯広市,西二十二条北１丁目２番１６号,0802462,北海道 帯広市 西二十二条北１丁目２番１６号,houjin_bangou
68,3430002024018,有限会社富士解体工業,,北海道,札幌市北区,北三十二条西３丁目２番３号３０５号,0010032,北海道 札幌市北区 北三十二条西３丁目２番３号３０５号,houjin_bangou
69,9450002003864,有限会社富弘解体,,北海道,旭川市,東光九条７丁目３番２０号,0788349,北海道 旭川市 東光九条７丁目３番２０号,houjin_bangou
70,9430002002281,有限会社岩村解体工業,,北海道,札幌市西区,宮の沢三条５丁目１１番１６号,0630053,北海道 札幌市西区 宮の沢三条５丁目１１番１６号,houjin_bangou
71,9430002056360,有限会社杉渕自動車解体,,北海道,余市郡仁木町,南町８丁目６２番地,0482413,北海道 余市郡仁木町 南町８丁目６２番地,houjin_bangou
72,5430002064103,有限会社熊谷解体工業,,北海道,室蘭市,本輪西町３丁目１６番２９号,0500065,北海道 室蘭市 本輪西町３丁目１６番２９号,houjin_bangou
73,7430002043872,有限会社産廃,,北海道,石狩市,北生振７２３番１,0613362,北海道 石狩市 北生振７２３番１,houjin_bangou
74,1430002001084,有限会社阿部解体,,北海道,札幌市西区,西野六条５丁目４番１１号,0630036,北海道 札幌市西区 西野六条５丁目４番１１号,houjin_bangou
75,3430002043463,有限会社高谷解体工業,00089473,北海道,石狩市,花川北六条５丁目２０２番地,0613216,北海道 石狩市 花川北六条５丁目２０２番地,houjin_bangou
76,4430002013572,東京解体土木興業有限会社,,北海道,札幌市中央区,大通西２２丁目４６番地,0640820,北海道 札幌市中央区 大通西２２丁目４６番地,houjin_bangou
77,8430001090031,株式会社かいたい,,北海道,札幌市中央区,北十三条西１５丁目６－２１ＮＡＧＩ桑園１０１,0600013,北海道 札幌市中央区 北十三条西１５丁目６－２１ＮＡＧＩ桑園１０１,houjin_bangou
78,6430001069630,株式会社オタル解体工業,,北海道,小樽市,住ノ江１丁目７番２８号,0470014,北海道 小樽市 住ノ江１丁目７番２８号,houjin_bangou
79,4430001069459,株式会社佐々木解体工業,,北海道,札幌市白石区,本通３丁目北２番５号セリエ本通１階,0030027,北海道 札幌市白石区 本通３丁目北２番５号セリエ本通１階,houjin_bangou
80,4460001003051,株式会社別井解体工業,,北海道,釧路郡釧路町,字別保原野南２０線５０番地９,0880605,北海道 釧路郡釧路町 字別保原野南２０線５０番地９,houjin_bangou
81,7460301000935,株式会社北光車輌解体,,北海道,北見市,花園町６１３番地,0900816,北海道 北見市 花園町６１３番地,houjin_bangou
82,7430001014610,株式会社北央コンクリート解体,,北海道,札幌市東区,丘珠町５８３番地１,0070880,北海道 札幌市東区 丘珠町５８３番地１,houjin_bangou
83,1460301003729,株式会社北見解体工業,,北海道,北見市,美山町南８丁目３９番地３３,0900068,北海道 北見市 美山町南８丁目３９番地３３,houjin_bangou
84,2430001035710,株式会社厚別解体,,北海道,札幌市厚別区,厚別西四条５丁目６番１３号,0040064,北海道 札幌市厚別区 厚別西四条５丁目６番１３号,houjin_bangou
85,1430001066731,株式会社型枠解体ＴＡＫＥＤＡ,,北海道,札幌市白石区,菊水元町一条５丁目１番２７号,0030821,北海道 札幌市白石区 菊水元町一条５丁目１番２７号,houjin_bangou
86,2430001051113,株式会社山本自動車解体工業,,北海道,余市郡仁木町,南町７丁目８５番地,0482413,北海道 余市郡仁木町 南町７丁目８５番地,houjin_bangou
87,7430001074860,株式会社平岸解体,,北海道,札幌市豊平区,平岸四条１丁目２番８号,0620934,北海道 札幌市豊平区 平岸四条１丁目２番８号,houjin_bangou
88,1430001037534,株式会社新保解体工業,,北海道,札幌市豊平区,月寒西一条１０丁目５番１９号,0620021,北海道 札幌市豊平区 月寒西一条１０丁目５番１９号,houjin_bangou
89,2430001036337,株式会社月寒解体,,北海道,札幌市白石区,菊水上町四条２丁目５２番地４２８,0030814,北海道 札幌市白石区 菊水上町四条２丁目５２番地４２８,houjin_bangou
90,7430001015864,株式会社本間解体工業,,北海道,札幌市西区,発寒十七条４丁目１番７４号,0630837,北海道 札幌市西区 発寒十七条４丁目１番７４号,houjin_bangou
91,1430001058340,株式会社札幌住宅解体,,北海道,札幌市北区,篠路町拓北１６２番４８,0028054,北海道 札幌市北区 篠路町拓北１６２番４８,houjin_bangou
92,2430001019762,株式会社札幌解体建設,,北海道,札幌市白石区,本通２１丁目北２番２５号,0030027,北海道 札幌市白石区 本通２１丁目北２番２５号,houjin_bangou
93,4430001090737,株式会社格安解体除雪建築,,北海道,札幌市中央区,北一条西２３丁目１番４１号,0640821,北海道 札幌市中央区 北一条西２３丁目１番４１号,houjin_bangou
94,5430001003714,株式会社樫山解体建設,,北海道,札幌市南区,真駒内本町７丁目１１番１５号,0050021,北海道 札幌市南区 真駒内本町７丁目１１番１５号,houjin_bangou
95,4430001057380,株式会社登別解体,,北海道,登別市,大和町２丁目３７番地３,0590025,北海道 登別市 大和町２丁目３７番地３,houjin_bangou
96,3430001089986,株式会社秋岡解体建設,,北海道,苫小牧市,美原町１丁目１８番６号,0591262,北海道 苫小牧市 美原町１丁目１８番６号,houjin_bangou
97,5450001014908,株式会社空知解体,,北海道,深川市,西町６番４０号,0740012,北海道 深川市 西町６番４０号,houjin_bangou
98,3430001053439,株式会社苫小牧解体建設,,北海道,苫小牧市,のぞみ町３丁目１９番２８号,0591272,北海道 苫小牧市 のぞみ町３丁目１９番２８号,houjin_bangou
99,5430001077460,株式会社藤田解体工業,,北海道,札幌市東区,中沼町１２７番１８,0070890,北海道 札幌市東区 中沼町１２７番１８,houjin_bangou
100,8460001004351,株式会社道東解体,,北海道,釧路市,材木町２１番９号シャルムソイ６　２０５号室,0850815,北海道 釧路市 材木町２１番９号シャルムソイ６　２０５号室,houjin_bangou
101,2430001080070,株式会社野口解体興業,,北海道,札幌市北区,新川四条１５丁目６番１５号,0010924,北海道 札幌市北区 新川四条１５丁目６番１５号,houjin_bangou
102,3450005002571,浜頓別町建設廃材処理協同組合,,北海道,枝幸郡浜頓別町,字宇曽丹４６８１番地１,0985744,北海道 枝幸郡浜頓別町 字宇曽丹４６８１番地１,houjin_bangou
103,7450005002832,稚内水産廃棄物処理協同組合,,北海道,稚内市,新港町１番１３,0970006,北海道 稚内市 新港町１番１３,houjin_bangou
104,2450001010224,緑進解体興業株式会社,,北海道,深川市,五条３番１８号メゾン５０３　１０４号室,0740005,北海道 深川市 五条３番１８号メゾン５０３　１０４号室,houjin_bangou
105,2450005002969,豊富町産廃処理協同組合,,北海道,天塩郡豊富町,字上サロベツ１１８８番地の５１,0984100,北海道 天塩郡豊富町 字上サロベツ１１８８番地の５１,houjin_bangou
106,3462502000486,道北解体有限会社,,北海道,標津郡中標津町,東三十二条北１丁目２番地,0861072,北海道 標津郡中標津町 東三十二条北１丁目２番地,houjin_bangou
107,6430002044450,道央解体工業有限会社,,北海道,北広島市,西の里９２９番地８,0611102,北海道 北広島市 西の里９２９番地８,houjin_bangou
108,9430001038434,青木解体建設株式会社,,北海道,札幌市東区,北十九条東２２丁目５番４号,0650019,北海道 札幌市東区 北十九条東２２丁目５番４号,houjin_bangou
109,1040001101742,あさひ解体株式会社,,千葉県,鎌ケ谷市,中佐津間１丁目１３番３７号,2730135,千葉県 鎌ケ谷市 中佐津間１丁目１３番３７号,houjin_bangou
110,6040001101390,ビクトリー解体工業株式会社,,千葉県,千葉市美浜区,幕張西１丁目１番２３号プレシス幕張本郷７０６号,2610026,千葉県 千葉市美浜区 幕張西１丁目１番２３号プレシス幕張本郷７０６号,houjin_bangou
111,2040001112185,北川解体工業株式会社,,千葉県,流山市,松ケ丘１丁目３７７番地５北川ビル２Ｆ,2700141,千葉県 流山市 松ケ丘１丁目３７７番地５北川ビル２Ｆ,houjin_bangou
112,6040005000275,千葉県解体工事業協同組合,,千葉県,千葉市中央区,本千葉町１０番地２０・６０９号,2600014,千葉県 千葉市中央区 本千葉町１０番地２０・６０９号,houjin_bangou
113,1040001030859,半田解体工業株式会社,,千葉県,市川市,塩焼２丁目１番９号,2720114,千葉県 市川市 塩焼２丁目１番９号,houjin_bangou
114,5040001140118,岡﨑解体工業株式会社,00140387,千葉県,八街市,八街ほ２０８番地１６１,2891115,千葉県 八街市 八街ほ２０８番地１６１,houjin_bangou
